stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782852451.013764,trajectory,0.001295,1.000000,0.000000,1,-0.011313438,-0.011313439,-0.000000000,-0.087955475,-0.000000808,0.087954667,35.000000,5.000000,0.000203593,0.097795486,0.439773323,0.439976916,q_final,,,1.000000
1782852451.013764,trajectory,0.001295,1.000000,0.000000,2,-0.015531540,-0.015531540,0.000000000,-0.047914505,0.000000479,0.047914984,55.000000,4.800000,0.575474146,-0.546577454,0.229991933,0.805466079,q_final,,,1.000000
1782852451.013764,trajectory,0.001295,1.000000,0.000000,3,-0.057716370,-0.057716369,0.000000001,-0.012756348,0.000001492,0.012757839,40.000000,4.830000,-0.322233762,-0.114915848,0.061620389,-0.260613373,q_final,,,1.000000
1782852451.013764,trajectory,0.001295,1.000000,0.000000,4,0.020900726,0.020900727,0.000000000,0.047668457,0.000000543,-0.047667914,30.000000,2.500000,-0.016596428,-0.040208817,-0.119169777,-0.135766205,q_final,,,1.000000
1782852451.013764,trajectory,0.001295,1.000000,0.000000,5,-0.015531540,-0.015531539,0.000000001,0.009567261,0.000001551,-0.009565710,15.000000,1.500000,0.019946228,0.028411865,-0.014348555,0.005597674,q_final,,,1.000000
1782852451.013764,trajectory,0.001295,1.000000,0.000000,6,-0.013998032,-0.013998031,0.000000000,0.064956665,0.000000702,-0.064955963,12.000000,1.000000,0.000073733,-0.004913330,-0.064955960,-0.064882227,q_final,,,1.000000
1782852451.031774,trajectory,0.005147,1.000000,0.000000,1,-0.011313438,-0.011313460,-0.000000022,-0.087955475,-0.000012738,0.087942737,35.000000,5.000000,0.000784036,0.097795486,0.439712918,0.440496954,q_final,,,1.000000
1782852451.031774,trajectory,0.005147,1.000000,0.000000,2,-0.015531540,-0.015531527,0.000000013,-0.047914505,0.000007547,0.047922052,55.000000,4.800000,0.576225723,-0.546577454,0.230026564,0.806252287,q_final,,,1.000000
1782852451.031774,trajectory,0.005147,1.000000,0.000000,3,-0.057716370,-0.057716329,0.000000040,-0.012756348,0.000023523,0.012779871,40.000000,4.830000,-0.321066798,-0.114915848,0.061728393,-0.259338405,q_final,,,1.000000
1782852451.031774,trajectory,0.005147,1.000000,0.000000,4,0.020900726,0.020900741,0.000000015,0.047668457,0.000008570,-0.047659887,30.000000,2.500000,-0.016406364,-0.040208817,-0.119149276,-0.135555641,q_final,,,1.000000
