stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.475486,trajectory,0.001283,1.000000,0.000000,1,0.008245468,0.008245468,0.000000000,0.022155762,0.000000733,-0.022155029,35.000000,5.000000,,-0.000127276,0.000778198,-0.110775132,-0.110902408,q_final,,,1.000000
1782898564.475486,trajectory,0.001283,1.000000,0.000000,2,-0.010930061,-0.010930061,-0.000000000,0.012512207,-0.000000054,-0.012512261,25.000000,5.800000,,-0.013460399,0.376289368,-0.072571115,-0.086031514,q_final,,,1.000000
1782898564.475486,trajectory,0.001283,1.000000,0.000000,3,0.009778976,0.009778976,-0.000000000,-0.110782623,-0.000001146,0.110781478,40.000000,4.830000,,0.180056517,-0.286121368,0.535074517,0.715131034,q_final,,,1.000000
1782898564.475486,trajectory,0.001283,1.000000,0.000000,4,-0.002492905,-0.002492905,-0.000000000,-0.047668457,-0.000000473,0.047667984,24.000000,2.250000,,0.024761703,0.022048950,0.107252958,0.132014661,q_final,,,1.000000
1782898564.475486,trajectory,0.001283,1.000000,0.000000,5,0.002109528,0.002109527,-0.000000001,0.040786743,-0.000001549,-0.040788292,15.000000,1.500000,,-0.017091084,0.004913330,-0.061182448,-0.078273532,q_final,,,1.000000
1782898564.475486,trajectory,0.001283,1.000000,0.000000,6,-0.009395599,-0.009395599,0.000000000,0.010574341,0.000000717,-0.010573624,12.000000,1.000000,,-0.000015285,0.024139404,-0.010573621,-0.010588906,q_final,,,1.000000
1782898564.486233,trajectory,0.010643,1.000000,0.000000,1,0.008245468,0.008245646,0.000000178,0.022155762,0.000050197,-0.022105565,35.000000,5.000000,,-0.001101389,0.000778198,-0.110521581,-0.111622970,q_final,,,1.000000
1782898564.486233,trajectory,0.010643,1.000000,0.000000,2,-0.010930061,-0.010930074,-0.000000013,0.012512207,-0.000003702,-0.012515910,25.000000,5.800000,,-0.013808894,0.376289368,-0.072592604,-0.086401498,q_final,,,1.000000
1782898564.486233,trajectory,0.010643,1.000000,0.000000,3,0.009778976,0.009778698,-0.000000279,-0.110782623,-0.000078456,0.110704167,40.000000,4.830000,,0.178109569,-0.286121368,0.534689976,0.712799544,q_final,,,1.000000
1782898564.486233,trajectory,0.010643,1.000000,0.000000,4,-0.002492905,-0.002493020,-0.000000115,-0.002014160,-0.000032411,0.001981749,24.000000,2.250000,,0.096352494,0.004409790,0.004456171,0.100808665,q_final,,,1.000000
1782898564.486233,trajectory,0.010643,1.000000,0.000000,5,0.002109528,0.002109151,-0.000000377,0.018630981,-0.000106077,-0.018737058,15.000000,1.500000,,-0.040255093,-0.018585205,-0.028111240,-0.068366333,q_final,,,1.000000
1782898564.486233,trajectory,0.010643,1.000000,0.000000,6,-0.009395599,-0.009395425,0.000000174,0.010574341,0.000049067,-0.010525274,12.000000,1.000000,,-0.000019411,0.024139404,-0.010523182,-0.010542593,q_final,,,1.000000
1782898564.496695,trajectory,0.021071,1.000000,0.000000,1,0.007862091,0.008246846,0.000384755,0.175235748,0.000195637,-0.175040111,35.000000,5.000000,,0.608336202,-0.026199341,-0.861734127,-0.253397925,q_final,,,1.000000
1782898564.496695,trajectory,0.021071,1.000000,0.000000,2,-0.010930061,-0.010930163,-0.000000102,0.021667480,-0.000014430,-0.021681910,25.000000,5.800000,,-0.078126299,0.286567688,-0.125757621,-0.203883921,q_final,,,1.000000
1782898564.496695,trajectory,0.021071,1.000000,0.000000,3,0.009778976,0.009776823,-0.000002154,-0.187320709,-0.000305775,0.187014935,40.000000,4.830000,,0.049175681,-0.041765213,0.903195979,0.952371660,q_final,,,1.000000
1782898564.496695,trajectory,0.021071,1.000000,0.000000,4,-0.002492905,-0.002493794,-0.000000890,-0.002014160,-0.000126319,0.001887841,24.000000,2.250000,,0.048765603,0.004409790,0.004226287,0.052991891,q_final,,,1.000000
1782898564.496695,trajectory,0.021071,1.000000,0.000000,5,0.002109528,0.002106615,-0.000002912,0.018630981,-0.000413421,-0.019044403,15.000000,1.500000,,-0.024861836,-0.018585205,-0.028610286,-0.053472122,q_final,,,1.000000
